Copier Margin,Block Number,Cumulative Copier Dividends,Cumulative Average Delegate Dividends,Gini Coefficient,Encryption Window,Encryption Window Length
0.08000000000000000167,3723840,44521.0,41272.139469554226,0.2811,27,13
0.08000000000000000167,3727800,37676.0,34923.6402244719,0.2757,28,11
0.08000000000000000167,3733200,51375.0,47622.99757393037,0.2612,29,15
0.08000000000000000167,3739680,61690.0,57138.23674535647,0.2704,30,18
0.08999999999999999667,3600360,3259.0,3328.310319782197,0.0000,1,1
0.08999999999999999667,3600720,3754.0,3470.465836337608,0.0000,2,1
0.08999999999999999667,3604320,36917.0,33907.62419443734,0.2697,3,10
0.08999999999999999667,3606480,21168.0,19442.946627333382,0.2529,4,6
0.08999999999999999667,3610440,38499.0,35387.60017648976,0.2731,5,11
0.08999999999999999667,3612960,24273.0,22328.440841380092,0.2646,6,7
0.08999999999999999667,3616560,34678.0,31830.87089533577,0.2872,7,10
0.08999999999999999667,3619080,24274.0,22270.848626677158,0.2715,8,7
0.08999999999999999667,3621240,20796.0,19087.09040791083,0.2484,9,6
0.08999999999999999667,3623040,17326.0,15899.73570545593,0.2470,10,5
0.08999999999999999667,3626280,31127.0,28607.35224402249,0.2697,11,9
0.08999999999999999667,3631320,48380.0,44475.251684749936,0.2817,12,14
0.08999999999999999667,3637800,62237.0,57154.74997117967,0.2951,13,18
0.08999999999999999667,3639600,17313.0,15892.874964869883,0.2509,14,5
0.08999999999999999667,3643560,38104.0,34962.42292013635,0.2727,15,11
0.08999999999999999667,3643920,3456.0,3179.153916262552,0.0000,16,1
0.08999999999999999667,3648240,41505.0,38134.59143813121,0.2776,17,12
0.08999999999999999667,3648600,3450.0,3178.8925848150907,0.0000,18,1
0.08999999999999999667,3651480,27675.0,25419.8300811863,0.2816,19,8
0.08999999999999999667,3655440,38049.0,34947.69341863917,0.2744,20,11
0.08999999999999999667,3656160,6913.0,6355.6447852832525,0.1565,21,2
0.08999999999999999667,3658680,24223.0,22241.321178011956,0.2564,22,7
0.08999999999999999667,3659040,3449.0,3178.207892077874,0.0000,23,1
0.08999999999999999667,3663720,44968.0,41300.52970947299,0.2768,24,13
0.08999999999999999667,3669480,55298.0,50816.23769257487,0.2878,25,16
0.08999999999999999667,3673080,34871.0,32013.939614987532,0.2749,26,10
0.08999999999999999667,3673800,6982.0,6406.313333435345,0.1580,27,2
0.08999999999999999667,3676320,24325.0,22341.467902207616,0.2592,28,7
0.08999999999999999667,3679200,27727.0,25515.899752252302,0.2631,29,8
0.08999999999999999667,3683520,41634.0,38266.31115300179,0.2786,30,12
0.08999999999999999667,3686040,24234.0,22236.023980146823,0.2655,31,7
0.08999999999999999667,3688560,24197.0,22232.89839260136,0.2674,32,7
0.08999999999999999667,3693240,44948.0,41284.37769593954,0.2794,33,13
0.08999999999999999667,3695760,24194.0,22231.164666420114,0.2692,34,7
0.08999999999999999667,3699000,31086.0,28582.31129388276,0.2742,35,9
0.08999999999999999667,3701160,20745.0,19055.469545398868,0.2564,36,6
